name,ID,Probe_vs_Competition_p.val,Vehicle_vs_Competition_p.val,Vehicle_vs_Probe_p.val,Probe_vs_Competition_p.adj,Vehicle_vs_Competition_p.adj,Vehicle_vs_Probe_p.adj,Probe_vs_Competition_significant,Vehicle_vs_Competition_significant,Vehicle_vs_Probe_significant,significant,Probe_vs_Competition_ratio,Vehicle_vs_Competition_ratio,Vehicle_vs_Probe_ratio,Competition_centered,Probe_centered,Vehicle_centered
DARS,P14868,0.9464920429161963,0.8973141473249903,0.9505409554056725,0.915,0.917,0.986,FALSE,FALSE,FALSE,FALSE,-0.0123,-0.0237,-0.0114,0.012,-3.11e-4,-0.0117
DCD,P81605,0.44621358084557133,0.10230772016966684,0.29641787169097017,0.344,0.278,0.962,FALSE,FALSE,FALSE,FALSE,1.47,3.54,2.07,-1.67,-0.2,1.87
DDB1,Q16531,0.837431850696966,0.7697113304044612,0.6217954966829771,0.88,0.901,0.98,FALSE,FALSE,FALSE,FALSE,0.035,-0.05,-0.085,0.00502,0.04,-0.045
DDX1,Q92499,0.717490866246983,0.6045161265103689,0.39226729016844775,0.81,0.87,0.971,FALSE,FALSE,FALSE,FALSE,-0.0801,0.115,0.196,-0.0118,-0.0919,0.104
DDX17,Q92841,0.9420157847155624,0.6284870443240331,0.5798690296504622,0.914,0.875,0.979,FALSE,FALSE,FALSE,FALSE,0.0206,-0.139,-0.16,0.0394,0.06,-0.0995
DDX21,Q9NR30,0.9210262550200974,0.9977262731483958,0.9187676188871909,0.908,0.926,0.986,FALSE,FALSE,FALSE,FALSE,0.0252,-7.25e-4,-0.026,-0.00817,0.0171,-0.0089
DDX39B,Q13838,0.8428185765445751,0.4938239740601137,0.6196915727921557,0.883,0.835,0.98,FALSE,FALSE,FALSE,FALSE,-0.0317,-0.112,-0.0802,0.0479,0.0162,-0.0641
DDX3X,O00571,0.8637188261089718,0.7210085004653697,0.8514452890192765,0.891,0.893,0.985,FALSE,FALSE,FALSE,FALSE,-0.0482,-0.101,-0.0526,0.0497,0.00147,-0.0512
DDX42,Q86XP3,0.9073121463171643,0.47595085300756695,0.5458080254665016,0.905,0.828,0.978,FALSE,FALSE,FALSE,FALSE,0.0223,0.14,0.118,-0.054,-0.0318,0.0858
DDX5,P17844,0.6906216789122688,0.6989696868979425,0.44325054530071767,0.786,0.89,0.974,FALSE,FALSE,FALSE,FALSE,-0.0787,0.0765,0.155,7.57e-4,-0.078,0.0772
DHCR24,Q15392,0.7272667933443656,0.8926903092669434,0.6311288974754421,0.817,0.916,0.981,FALSE,FALSE,FALSE,FALSE,0.163,-0.0627,-0.226,-0.0334,0.13,-0.0961
DHX15,O43143,0.6193360044125569,0.27822141299975794,0.5235148477717215,0.702,0.68,0.977,FALSE,FALSE,FALSE,FALSE,-0.134,-0.307,-0.173,0.147,0.0132,-0.16
DHX9,Q08211,0.8996643999821982,0.3431879146182069,0.4028187610008478,0.902,0.748,0.971,FALSE,FALSE,FALSE,FALSE,-0.032,-0.252,-0.22,0.0947,0.0627,-0.157
DLST,P36957,0.7874988357930983,0.12567611085552163,0.1818239877911509,0.857,0.344,0.937,FALSE,FALSE,FALSE,FALSE,0.0681,0.438,0.37,-0.169,-0.101,0.269
DNAJC2,Q99543,0.42424026412442706,0.43125081475857546,0.9893970579369882,0.305,0.807,0.987,FALSE,FALSE,FALSE,FALSE,-0.17,-0.168,0.00274,0.113,-0.0577,-0.0549
DNAJC9,Q8WXX5,0.6297288083546848,0.3849834719204729,0.67980660705862,0.716,0.78,0.982,FALSE,FALSE,FALSE,FALSE,-0.103,-0.19,-0.0875,0.0975,-0.00502,-0.0925
DNMT1,P26358,0.9097419056037419,0.6175645930863434,0.5436099537854083,0.905,0.873,0.978,FALSE,FALSE,FALSE,FALSE,0.0365,-0.163,-0.199,0.0421,0.0785,-0.121
DSC1,Q08554,0.5974837002838094,0.13139000836438383,0.2716539026783135,0.668,0.357,0.958,FALSE,FALSE,FALSE,FALSE,0.663,2.11,1.45,-0.926,-0.263,1.19
DSG1,Q02413,0.5954934159764063,0.1548452634662833,0.3194732357476288,0.665,0.425,0.964,FALSE,FALSE,FALSE,FALSE,0.631,1.86,1.23,-0.831,-0.2,1.03
DSP,P15924,0.42236142513371433,0.27655726214706194,0.7432861388771208,0.302,0.678,0.983,FALSE,FALSE,FALSE,FALSE,0.659,0.921,0.262,-0.527,0.133,0.394
DTYMK,P23919,0.9271059562286252,0.6906582224913944,0.7579033446931236,0.91,0.888,0.984,FALSE,FALSE,FALSE,FALSE,0.0284,0.124,0.0961,-0.0509,-0.0226,0.0735
DYNC1H1,Q14204,0.8757839937965575,0.20390084409520726,0.2517704225146079,0.895,0.555,0.955,FALSE,FALSE,FALSE,FALSE,-0.0305,-0.27,-0.239,0.1,0.0697,-0.17
EEF1D,P29692,0.9935261027055866,0.5418319128865534,0.5367799352519036,0.924,0.852,0.978,FALSE,FALSE,FALSE,FALSE,-0.00155,0.119,0.12,-0.0391,-0.0406,0.0797
EEF2,P13639,0.884281345382494,0.8131641653779345,0.7040660442454845,0.898,0.907,0.982,FALSE,FALSE,FALSE,FALSE,0.0376,-0.0612,-0.0988,0.00786,0.0455,-0.0533
EIF3A,Q14152,0.8830523062175731,0.8727437378777017,0.7594993985150152,0.897,0.914,0.984,FALSE,FALSE,FALSE,FALSE,-0.0253,0.0275,0.0528,-7.5e-4,-0.026,0.0268
EIF3B,P55884,0.7142018585725882,0.19629148953687361,0.11869225672522209,0.807,0.538,0.899,FALSE,FALSE,FALSE,FALSE,-0.0628,0.241,0.304,-0.0593,-0.122,0.181
EIF3CL,B5ME19,0.636392918627392,0.7568898285808675,0.8673708458425332,0.725,0.899,0.985,FALSE,FALSE,FALSE,FALSE,-0.106,-0.0686,0.0369,0.0581,-0.0475,-0.0106
EIF3D,O15371,0.7258457990529135,0.6939000897124221,0.965016389651717,0.816,0.889,0.987,FALSE,FALSE,FALSE,FALSE,0.086,0.0967,0.0107,-0.0609,0.0251,0.0358
EIF3E,P60228,0.8368634643523942,0.5379199491456335,0.6757616989915445,0.88,0.851,0.982,FALSE,FALSE,FALSE,FALSE,-0.0344,-0.105,-0.0704,0.0464,0.012,-0.0584
EIF3L,Q9Y262,0.8558019947860103,0.4309811620113481,0.5357620649516153,0.888,0.807,0.978,FALSE,FALSE,FALSE,FALSE,-0.0387,-0.173,-0.135,0.0707,0.0319,-0.103
EIF4A1,P60842,0.11223193807670959,0.11979886181142171,0.9617875855307839,3.38e-4,0.329,0.987,FALSE,FALSE,FALSE,FALSE,-0.655,-0.638,0.0172,0.431,-0.224,-0.207
EIF4G1,Q04637,0.4813040444101557,0.9631095659669425,0.5084611443077405,0.424,0.923,0.977,FALSE,FALSE,FALSE,FALSE,-0.355,-0.0227,0.333,0.126,-0.229,0.103
EIF4H,Q15056,0.6268497955557935,0.0786957497406729,0.04134942844868525,0.712,0.191,0.639,FALSE,FALSE,FALSE,FALSE,-0.0693,0.294,0.363,-0.0749,-0.144,0.219
EIF6,P56537,0.7890674127495942,0.2326946337642294,0.16160787465651896,0.857,0.612,0.929,FALSE,FALSE,FALSE,FALSE,-0.0935,0.449,0.542,-0.118,-0.212,0.33
ENO3,P13929,0.6586056060437167,0.7397243182408997,0.910667161530681,0.752,0.896,0.986,FALSE,FALSE,FALSE,FALSE,-0.199,-0.149,0.0499,0.116,-0.0828,-0.0329
